     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    243000,       887,         0,   0.099,pymatching,84cf7e0b7b604fa214d089bfffe13a736ae61dd40451ae94b4e0e901e33d69c4,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.002,""p2"":0.005,""pm"":0,""psr"":null}",
    145800,       510,         0,   0.060,pymatching,84cf7e0b7b604fa214d089bfffe13a736ae61dd40451ae94b4e0e901e33d69c4,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.002,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         2,         0,   0.001,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         1,         0,   0.001,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       600,         0,         0,   0.001,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
      1800,         3,         0,   0.001,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
      5400,        16,         0,   0.003,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     16200,        76,         0,   0.007,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
     48600,       189,         0,   0.021,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    250400,       910,         0,   0.101,pymatching,84cf7e0b7b604fa214d089bfffe13a736ae61dd40451ae94b4e0e901e33d69c4,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.002,""p2"":0.005,""pm"":0,""psr"":null}",
    145800,       585,         0,   0.063,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    534600,      1858,         0,   0.218,pymatching,84cf7e0b7b604fa214d089bfffe13a736ae61dd40451ae94b4e0e901e33d69c4,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.002,""p2"":0.005,""pm"":0,""psr"":null}",
    145800,       533,         0,   0.064,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
    534600,      1926,         0,   0.219,pymatching,84cf7e0b7b604fa214d089bfffe13a736ae61dd40451ae94b4e0e901e33d69c4,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.002,""p2"":0.005,""pm"":0,""psr"":null}",
     31700,       117,         0,   0.015,pymatching,8807a03c03c9d85a4fc83655b05f23ab629331101da11e6a16adb3f3b01f2b20,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0022500000000000003,""p2"":0.005,""pm"":0,""psr"":null}",
       100,         0,         0,   0.001,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
       200,         1,         0,   0.001,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
       600,         2,         0,   0.001,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
      1800,         5,         0,   0.001,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
      5400,        29,         0,   0.003,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
     16200,        62,         0,   0.008,pymatching,062cb7b99b976d33673196ea311c742f7f67938b01e36fd6f67c0188b1dc7273,"{""d_final"":5,""d_init"":3,""encoder"":""mine"",""p"":0.0025,""p2"":0.005,""pm"":0,""psr"":null}",
