     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5400,        64,      1319,   0.007,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     16200,       186,      3943,   0.015,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     16200,       186,      3943,   0.016,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     27000,       337,      6520,   0.024,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     59400,       654,     14228,   0.050,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     91800,      1116,     22369,   0.075,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    145800,      1628,     35307,   0.118,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
     18177,       243,      4432,   0.016,pymatching,030c4eefe350ef3e8c3664964a9be109ef6d915138a3f2923838eae3d0191a9d,"{""d_final"":9,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       100,         5,        18,   0.007,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       200,         5,        50,   0.007,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
       600,         8,       142,   0.008,pymatching,d72d27f79472f829a55d9b95f3a72c6d3186ce08b460783bad272d311149e3d9,"{""d_final"":17,""d_init"":3,""encoder"":""local"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
    247687,      3432,     59681,   0.723,pymatching,5356855554ec70a8c465ea0c429ff195bbb9bdb1678d3a3711a34f46d2a8ad29,"{""d_final"":17,""d_init"":3,""encoder"":""mine"",""p"":0.001,""p2"":0.005,""pm"":0.005,""psr"":2}",
